timeToMaturityDays,liquidityScale,lltv,depth,oracleDisplacement,manipulationAchievableOnCurve,bindingConstraint,oraclePriceExceedsRedemptionCeiling,maxUpwardDisplacementAvailable,displacementRequiredForInsolvency,displacementInsolvencyReachable,manipulationCost,attackCapitalRequired,attackerOwnCapital,additionalBorrowCapacity,totalDebt,effectiveLeverage,manipulatedCollateralMark,referenceCollateralMark,realizableCollateralMark,oracleOvervaluation,liquidationValue,liquidationProfitable,liquidationLoss,protocolShortfall,attackerPnL,attackerNetOfManipulationCost,solventUnderReferenceMark,solventUnderRealizableMark
365,0.25,0.86,1,0,true,,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,0,6361.733202885902,1.836165959392135,13859.988075312995,13859.988075312995,13749.871276145102,0,6361.733202885902,true,7498.254872427093,0,-386.34011661109344,-386.34011661109344,true,true
365,0.25,0.86,1,0.01,true,,false,0.10789118092244898,0.16279069767441867,false,4667.9376787506335,184513.7274944415,7548.330805512461,119.73851803517573,6425.350534914761,1.8445248163069887,14062.314327386879,13923.083492462256,13812.46390540483,139.2308349246232,6425.350534914761,true,7497.732957547495,0,-389.6255713833161,-5057.56325013395,true,true
365,0.25,0.86,1,0.02,true,,false,0.10789118092244898,0.16279069767441867,false,11866.861964487936,337733.05573871214,7548.330805512461,240.56227002859305,6488.96786694362,1.8528836176364445,14265.902059835236,13986.178490034546,13875.05610494508,279.7235698006898,6488.96786694362,true,7497.210623090927,0,-392.9114416233233,-12259.77340611126,true,true
365,0.25,0.86,1,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,609.5448215019951,6679.819863030197,1.8779596880956104,14884.234013420803,14175.460965162669,14062.830125138727,708.7730482581337,0,false,14175.460965162669,0,-402.7715453412766,-402.7715453412766,true,true
365,0.25,0.86,1,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,1246.2194092936588,6997.906523174492,1.9197520269378232,15940.015700267735,14490.92336387976,14375.778229607276,1449.0923363879756,0,false,14490.92336387976,0,-419.2133626721079,-419.2133626721079,true,true
365,0.25,0.86,3,0,true,,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,0,16470.463999906082,3.1643173887662206,23885.314424042816,23885.314424042816,23695.138598133195,0,16470.463999906082,true,7414.850424136734,0,-908.8555776718486,-908.8555776718486,true,true
365,0.25,0.86,3,0.01,true,,false,0.10789118092244898,0.16279069767441867,false,4667.9376787506335,184513.7274944415,7548.330805512461,208.06324111811045,16781.24197207867,3.2051324661533354,24435.33413131348,24193.40013001335,24000.758650653042,241.93400130013106,16781.24197207867,true,7412.1581579346785,0,-925.0463417543915,-5592.984020505025,true,true
365,0.25,0.86,3,0.02,true,,false,0.10789118092244898,0.16279069767441867,false,11866.861964487936,337733.05573871214,7548.330805512461,421.4901778593339,17095.81671238019,3.2464452777960493,24995.347756774347,24505.24289879838,24310.10537188272,490.1048579759663,17095.81671238019,true,7409.42618641819,0,-941.4416495679052,-12808.303614055842,true,true
365,0.25,0.86,3,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,1094.9336840064316,18062.586982622586,3.3734046245118634,26736.752748994153,25463.574046661095,25260.763808618343,1273.178702333058,0,false,25463.574046661095,0,-991.8713125760678,-991.8713125760678,true,true
365,0.25,0.86,3,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,2333.8992681257223,19752.283232179412,3.5952801065685094,29852.199941142928,27138.363582857204,26922.137014468786,2713.8363582857237,0,false,27138.363582857204,0,-1080.1663482777712,-1080.1663482777712,true,true
365,0.25,0.86,10,0,true,,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,0,34813.865808763316,5.572790979035016,42065.26981973196,42065.26981973196,41729.047813943114,0,34813.865808763316,true,7251.404010968647,0,-1868.9732768845106,-1868.9732768845106,true,true
365,0.25,0.86,10,0.01,true,,false,0.10789118092244898,0.16279069767441867,false,4667.9376787506335,184513.7274944415,7548.330805512461,374.464227822893,36305.13403944224,5.768474275217332,43977.77559315344,43542.35207242915,43194.21550679354,435.4235207242891,36305.13403944224,true,7237.218032986915,0,-1947.9165531272774,-6615.854231877911,true,true
365,0.25,0.86,10,0.02,true,,false,0.10789118092244898,0.16279069767441867,false,11866.861964487936,337733.05573871214,7548.330805512461,775.6000151482804,37870.833485515206,5.9739067216816935,45994.88461925844,45093.02413652788,44732.3715914648,901.8604827305608,37870.833485515206,true,7222.190651012672,0,-2030.931851946798,-13897.793816434734,true,true
365,0.25,0.86,10,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,2159.7465903221237,43055.21422227403,6.654009500290081,52737.9981357728,50226.6648912122,49824.52000776647,2511.3332445606065,0,false,50226.6648912122,0,-2306.783955880551,-2306.783955880551,true,true
365,0.25,0.86,10,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,5216.79281302703,53596.80451452582,8.03626432250773,66726.4197015084,60660.38154682582,60173.638033971976,6066.038154682588,0,false,60660.38154682582,0,-2872.3333568474873,-2872.3333568474873,true,true
365,0.25,0.86,20,0,true,,false,0.10789118092244898,0.16279069767441867,false,,,7548.330805512461,0,42093.6514832074,6.528043875264678,49275.83468339731,49275.83468339731,48881.380397745874,0,42093.6514832074,true,7182.183200189909,0,-2254.310275390456,-2254.310275390456,true,true
365,0.25,0.86,20,0.01,true,,false,0.10789118092244898,0.16279069767441867,false,4667.9376787506335,184513.7274944415,7548.330805512461,445.67412500589126,44665.74759440564,6.865434757742577,52340.79840185532,51822.572675104275,51407.50985100187,518.2257267510431,44665.74759440564,true,7156.8250806986325,0,-2391.3491067410678,-7059.286785491701,true,true
365,0.25,0.86,20,0.02,true,,false,0.10789118092244898,0.16279069767441867,false,11866.861964487936,337733.05573871214,7548.330805512461,939.0309610894255,47466.00355685854,7.23270147080497,55686.71978553549,54594.823319152434,54157.30262665922,1091.8964663830557,47466.00355685854,true,7128.819762293897,0,-2540.9372976743234,-14407.79926216226,true,true
